time,u1
0.14400000000000002,0.0
0.145,0.0
0.146,0.0
0.147,0.0
0.148,0.0
0.149,0.0
0.15,0.0
0.151,0.0
0.152,0.0
0.153,0.0
0.154,0.0
0.155,0.0
0.156,0.0
0.157,0.0
0.158,0.0
0.159,0.0
0.16,0.0
0.161,0.0
0.162,0.0
0.163,0.0
0.164,0.0
0.165,0.0
0.166,0.0
0.167,0.0
0.168,0.0
0.169,0.0
0.17,0.0
0.171,0.0
0.17200000000000001,0.0
0.17300000000000001,0.0
0.17400000000000002,0.0
0.17500000000000002,0.0
0.176,0.0
0.177,0.0
0.178,0.0
0.179,0.0
0.18,0.0
0.181,0.0
0.182,0.0
0.183,0.0
0.184,0.0
0.185,0.0
0.186,0.0
0.187,0.0
0.188,0.0
0.189,0.0
0.19,0.0
0.191,0.0
0.192,0.0
0.193,0.0
0.194,0.0
0.195,0.0
0.196,0.0
0.197,0.0
0.198,0.0
0.199,0.0
0.2,0.0
0.201,1.0
0.202,1.0
0.203,1.0
0.20400000000000001,1.0
0.20500000000000002,1.0
0.20600000000000002,1.0
0.20700000000000002,1.0
0.20800000000000002,1.0
0.209,1.0
0.21,1.0
0.211,1.0
0.212,1.0
0.213,1.0
0.214,1.0
0.215,1.0
0.216,1.0
0.217,1.0
0.218,1.0
0.219,1.0
0.22,1.0
0.221,1.0
0.222,1.0
0.223,1.0
0.224,1.0
0.225,1.0
0.226,1.0
0.227,1.0
0.228,1.0
0.229,1.0
0.23,1.0
0.231,1.0
0.232,1.0
0.233,1.0
0.234,1.0
0.23500000000000001,1.0
0.23600000000000002,1.0
0.23700000000000002,1.0
0.23800000000000002,1.0
0.23900000000000002,1.0
0.24,1.0
0.241,1.0
0.242,1.0
0.243,1.0
0.244,1.0
0.245,1.0
0.246,1.0
0.247,1.0
0.248,1.0
0.249,1.0
0.25,1.0
0.251,1.0
0.252,1.0
0.253,1.0
0.254,1.0
0.255,1.0
0.256,1.0
0.257,1.0
0.258,1.0
0.259,1.0
0.26,1.0
0.261,1.0
0.262,1.0
0.263,1.0
0.264,1.0
0.265,1.0
0.266,1.0
0.267,1.0
0.268,1.0
0.269,1.0
0.27,1.0
0.271,1.0
0.272,1.0
0.273,1.0
0.274,1.0
0.275,1.0
0.276,1.0
0.277,1.0
0.278,1.0
0.279,1.0
0.28,1.0
0.281,1.0
0.28200000000000003,1.0
0.28300000000000003,1.0
0.28400000000000003,1.0
0.28500000000000003,1.0
0.28600000000000003,1.0
0.28700000000000003,1.0
0.28800000000000003,1.0
0.289,1.0
0.29,1.0
0.291,1.0
0.292,1.0
0.293,1.0
0.294,1.0
0.295,1.0
0.296,1.0
0.297,1.0
0.298,1.0
0.299,1.0
0.3,1.0
0.301,1.0
0.302,1.0
0.303,1.0
0.304,1.0
0.305,1.0
0.306,1.0
0.307,1.0
0.308,1.0
0.309,1.0
0.31,1.0
0.311,1.0
0.312,1.0
0.313,1.0
0.314,1.0
0.315,1.0
0.316,1.0
0.317,1.0
0.318,1.0
0.319,1.0
0.32,1.0
0.321,1.0
0.322,1.0
0.323,1.0
0.324,1.0
0.325,1.0
0.326,1.0
0.327,1.0
0.328,1.0
0.329,1.0
0.33,1.0
0.331,1.0
0.332,1.0
0.333,1.0
0.334,1.0
0.335,1.0
0.336,1.0
0.337,1.0
0.338,1.0
0.339,1.0
0.34,1.0
0.341,1.0
0.342,1.0
0.343,1.0
0.34400000000000003,1.0
0.34500000000000003,1.0
0.34600000000000003,1.0
0.34700000000000003,1.0
0.34800000000000003,1.0
0.34900000000000003,1.0
0.35000000000000003,1.0
0.35100000000000003,1.0
0.352,1.0
0.353,1.0
0.354,1.0
0.355,1.0
0.356,1.0
0.357,1.0
0.358,1.0
0.359,1.0
0.36,1.0
0.361,1.0
0.362,1.0
0.363,1.0
0.364,1.0
0.365,1.0
0.366,1.0
0.367,1.0
0.368,1.0
0.369,1.0
0.37,1.0
0.371,1.0
0.372,1.0
0.373,1.0
0.374,1.0
0.375,1.0
0.376,1.0
0.377,1.0
0.378,1.0
0.379,1.0
0.38,1.0
0.381,1.0
0.382,1.0
0.383,1.0
0.384,1.0
0.385,1.0
0.386,1.0
0.387,1.0
0.388,1.0
0.389,1.0
0.39,1.0
0.391,1.0
0.392,1.0
0.393,1.0
0.394,1.0
0.395,1.0
0.396,1.0
0.397,1.0
0.398,1.0
0.399,1.0
0.4,1.0
0.401,1.0
0.402,1.0
0.403,1.0
0.404,1.0
0.405,1.0
0.406,1.0
0.40700000000000003,1.0
0.40800000000000003,1.0
0.40900000000000003,1.0
0.41000000000000003,1.0
0.41100000000000003,1.0
0.41200000000000003,1.0
0.41300000000000003,1.0
0.41400000000000003,1.0
0.41500000000000004,1.0
0.41600000000000004,1.0
0.417,1.0
0.418,1.0
0.419,1.0
0.42,1.0
0.421,1.0
0.422,1.0
0.423,1.0
0.424,1.0
0.425,1.0
0.426,1.0
0.427,1.0
0.428,1.0
0.429,1.0
0.43,1.0
0.431,1.0
0.432,1.0
0.433,1.0
0.434,1.0
0.435,1.0
0.436,1.0
0.437,1.0
0.438,1.0
0.439,1.0
0.44,1.0
0.441,1.0
0.442,1.0
0.443,1.0
0.444,1.0
0.445,1.0
0.446,1.0
0.447,1.0
0.448,1.0
0.449,1.0
0.45,1.0
0.451,1.0
0.452,1.0
0.453,1.0
0.454,1.0
0.455,1.0
0.456,1.0
0.457,1.0
0.458,1.0
0.459,1.0
0.46,1.0
0.461,1.0
0.462,1.0
0.463,1.0
0.464,1.0
0.465,1.0
0.466,1.0
0.467,1.0
0.468,1.0
0.46900000000000003,1.0
0.47000000000000003,1.0
0.47100000000000003,1.0
0.47200000000000003,1.0
0.47300000000000003,1.0
0.47400000000000003,1.0
0.47500000000000003,1.0
0.47600000000000003,1.0
0.47700000000000004,1.0
0.47800000000000004,1.0
0.47900000000000004,1.0
0.48,1.0
0.481,1.0
0.482,1.0
0.483,1.0
0.484,1.0
0.485,1.0
0.486,1.0
0.487,1.0
0.488,1.0
0.489,1.0
0.49,1.0
0.491,1.0
0.492,1.0
0.493,1.0
0.494,1.0
0.495,1.0
0.496,1.0
0.497,1.0
0.498,1.0
0.499,1.0
0.5,1.0
0.501,1.0
0.502,1.0
0.503,1.0
0.504,1.0
0.505,1.0
0.506,1.0
0.507,1.0
0.508,1.0
0.509,1.0
0.51,1.0
0.511,1.0
0.512,1.0
0.513,1.0
0.514,1.0
0.515,1.0
0.516,1.0
0.517,1.0
0.518,1.0
0.519,1.0
0.52,1.0
0.521,1.0
0.522,1.0
0.523,1.0
0.524,1.0
0.525,1.0
0.526,1.0
0.527,1.0
0.528,1.0
0.529,1.0
0.53,1.0
0.531,1.0
0.532,1.0
0.533,1.0
0.534,1.0
0.535,1.0
0.536,1.0
0.537,1.0
0.538,1.0
0.539,1.0
0.54,1.0
0.541,1.0
0.542,1.0
0.543,1.0
0.544,1.0
0.545,1.0
0.546,1.0
0.547,1.0
0.548,1.0
0.549,1.0
0.55,1.0
0.551,1.0
0.552,1.0
0.553,1.0
0.554,1.0
0.555,1.0
0.556,1.0
0.557,1.0
0.558,1.0
0.559,1.0
0.56,1.0
0.561,1.0
0.562,1.0
0.5630000000000001,1.0
0.5640000000000001,1.0
0.5650000000000001,1.0
0.5660000000000001,1.0
0.5670000000000001,1.0
0.5680000000000001,1.0
0.5690000000000001,1.0
0.5700000000000001,1.0
0.5710000000000001,1.0
0.5720000000000001,1.0
0.5730000000000001,1.0
0.5740000000000001,1.0
0.5750000000000001,1.0
0.5760000000000001,1.0
0.577,1.0
0.578,1.0
0.579,1.0
0.58,1.0
0.581,1.0
0.582,1.0
0.583,1.0
0.584,1.0
0.585,1.0
0.586,1.0
0.587,1.0
0.588,1.0
0.589,1.0
0.59,1.0
0.591,1.0
0.592,1.0
0.593,1.0
0.594,1.0
0.595,1.0
0.596,1.0
0.597,1.0
0.598,1.0
0.599,1.0
0.6,1.0
0.601,1.0
0.602,1.0
0.603,1.0
0.604,1.0
0.605,1.0
0.606,1.0
0.607,1.0
0.608,1.0
0.609,1.0
0.61,1.0
0.611,1.0
0.612,1.0
0.613,1.0
0.614,1.0
0.615,1.0
0.616,1.0
0.617,1.0
0.618,1.0
0.619,1.0
0.62,1.0
0.621,1.0
0.622,1.0
0.623,1.0
0.624,1.0
0.625,1.0
0.626,1.0
0.627,1.0
0.628,1.0
0.629,1.0
0.63,1.0
0.631,1.0
0.632,1.0
0.633,1.0
0.634,1.0
0.635,1.0
0.636,1.0
0.637,1.0
0.638,1.0
0.639,1.0
0.64,1.0
0.641,1.0
0.642,1.0
0.643,1.0
0.644,1.0
0.645,1.0
0.646,1.0
0.647,1.0
0.648,1.0
0.649,1.0
0.65,1.0
0.651,1.0
0.652,1.0
0.653,1.0
0.654,1.0
0.655,1.0
0.656,1.0
0.657,1.0
0.658,1.0
0.659,1.0
0.66,1.0
0.661,1.0
0.662,1.0
0.663,1.0
0.664,1.0
0.665,1.0
0.666,1.0
0.667,1.0
0.668,1.0
0.669,1.0
0.67,1.0
0.671,1.0
0.672,1.0
0.673,1.0
0.674,1.0
0.675,1.0
0.676,1.0
0.677,1.0
0.678,1.0
0.679,1.0
0.68,1.0
0.681,1.0
0.682,1.0
0.683,1.0
0.684,1.0
0.685,1.0
0.686,1.0
0.687,1.0
0.6880000000000001,1.0
0.6890000000000001,1.0
0.6900000000000001,1.0
0.6910000000000001,1.0
0.6920000000000001,1.0
0.6930000000000001,1.0
0.6940000000000001,1.0
0.6950000000000001,1.0
0.6960000000000001,1.0
0.6970000000000001,1.0
0.6980000000000001,1.0
0.6990000000000001,1.0
0.7000000000000001,1.0
0.7010000000000001,1.0
0.7020000000000001,1.0
0.7030000000000001,1.0
0.704,1.0
0.705,1.0
0.706,1.0
0.707,1.0
0.708,1.0
0.709,1.0
0.71,1.0
0.711,1.0
0.712,1.0
0.713,1.0
0.714,1.0
0.715,1.0
0.716,1.0
0.717,1.0
0.718,1.0
0.719,1.0
0.72,1.0
0.721,1.0
0.722,1.0
0.723,1.0
0.724,1.0
0.725,1.0
0.726,1.0
0.727,1.0
0.728,1.0
0.729,1.0
0.73,1.0
0.731,1.0
0.732,1.0
0.733,1.0
0.734,1.0
0.735,1.0
0.736,1.0
0.737,1.0
0.738,1.0
0.739,1.0
0.74,1.0
0.741,1.0
0.742,1.0
0.743,1.0
0.744,1.0
0.745,1.0
0.746,1.0
0.747,1.0
0.748,1.0
0.749,1.0
0.75,1.0
0.751,1.0
0.752,1.0
0.753,1.0
0.754,1.0
0.755,1.0
0.756,1.0
0.757,1.0
0.758,1.0
0.759,1.0
0.76,1.0
0.761,1.0
0.762,1.0
0.763,1.0
0.764,1.0
0.765,1.0
0.766,1.0
0.767,1.0
0.768,1.0
0.769,1.0
0.77,1.0
0.771,1.0
0.772,1.0
0.773,1.0
0.774,1.0
0.775,1.0
0.776,1.0
0.777,1.0
0.778,1.0
0.779,1.0
0.78,1.0
0.781,1.0
0.782,1.0
0.783,1.0
0.784,1.0
0.785,1.0
0.786,1.0
0.787,1.0
0.788,1.0
0.789,1.0
0.79,1.0
0.791,1.0
0.792,1.0
0.793,1.0
0.794,1.0
0.795,1.0
0.796,1.0
0.797,1.0
0.798,1.0
0.799,1.0
0.8,1.0
0.801,1.0
0.802,1.0
0.803,1.0
0.804,1.0
0.805,1.0
0.806,1.0
0.807,1.0
0.808,1.0
0.809,1.0
0.81,1.0
0.811,1.0
0.812,1.0
0.8130000000000001,1.0
0.8140000000000001,1.0
0.8150000000000001,1.0
0.8160000000000001,1.0
0.8170000000000001,1.0
0.8180000000000001,1.0
0.8190000000000001,1.0
0.8200000000000001,1.0
0.8210000000000001,1.0
0.8220000000000001,1.0
0.8230000000000001,1.0
0.8240000000000001,1.0
0.8250000000000001,1.0
0.8260000000000001,1.0
0.8270000000000001,1.0
0.8280000000000001,1.0
0.8290000000000001,1.0
0.8300000000000001,1.0
0.8310000000000001,1.0
0.8320000000000001,1.0
0.833,1.0
0.834,1.0
0.835,1.0
0.836,1.0
0.837,1.0
0.838,1.0
0.839,1.0
0.84,1.0
0.841,1.0
0.842,1.0
0.843,1.0
0.844,1.0
0.845,1.0
0.846,1.0
0.847,1.0
0.848,1.0
0.849,1.0
0.85,1.0
0.851,1.0
0.852,1.0
0.853,1.0
0.854,1.0
0.855,1.0
0.856,1.0
0.857,1.0
0.858,1.0
0.859,1.0
0.86,1.0
0.861,1.0
0.862,1.0
0.863,1.0
0.864,1.0
0.865,1.0
0.866,1.0
0.867,1.0
0.868,1.0
0.869,1.0
0.87,1.0
0.871,1.0
0.872,1.0
0.873,1.0
0.874,1.0
0.875,1.0
0.876,1.0
0.877,1.0
0.878,1.0
0.879,1.0
0.88,1.0
0.881,1.0
0.882,1.0
0.883,1.0
0.884,1.0
0.885,1.0
0.886,1.0
0.887,1.0
0.888,1.0
0.889,1.0
0.89,1.0
0.891,1.0
0.892,1.0
0.893,1.0
0.894,1.0
0.895,1.0
0.896,1.0
0.897,1.0
0.898,1.0
0.899,1.0
0.9,1.0
0.901,1.0
0.902,1.0
0.903,1.0
0.904,1.0
0.905,1.0
0.906,1.0
0.907,1.0
0.908,1.0
0.909,1.0
0.91,1.0
0.911,1.0
0.912,1.0
0.913,1.0
0.914,1.0
0.915,1.0
0.916,1.0
0.917,1.0
0.918,1.0
0.919,1.0
0.92,1.0
0.921,1.0
0.922,1.0
0.923,1.0
0.924,1.0
0.925,1.0
0.926,1.0
0.927,1.0
0.928,1.0
0.929,1.0
0.93,1.0
0.931,1.0
0.932,1.0
0.933,1.0
0.934,1.0
0.935,1.0
0.936,1.0
0.937,1.0
0.9380000000000001,1.0
0.9390000000000001,1.0
0.9400000000000001,1.0
0.9410000000000001,1.0
0.9420000000000001,1.0
0.9430000000000001,1.0
0.9440000000000001,1.0
0.9450000000000001,1.0
0.9460000000000001,1.0
0.9470000000000001,1.0
0.9480000000000001,1.0
0.9490000000000001,1.0
0.9500000000000001,1.0
0.9510000000000001,1.0
0.9520000000000001,1.0
0.9530000000000001,1.0
0.9540000000000001,1.0
0.9550000000000001,1.0
0.9560000000000001,1.0
0.9570000000000001,1.0
0.9580000000000001,1.0
0.9590000000000001,1.0
0.96,1.0
0.961,1.0
0.962,1.0
0.963,1.0
0.964,1.0
0.965,1.0
0.966,1.0
0.967,1.0
0.968,1.0
0.969,1.0
0.97,1.0
0.971,1.0
0.972,1.0
0.973,1.0
0.974,1.0
0.975,1.0
0.976,1.0
0.977,1.0
0.978,1.0
0.979,1.0
0.98,1.0
0.981,1.0
0.982,1.0
0.983,1.0
0.984,1.0
0.985,1.0
0.986,1.0
0.987,1.0
0.988,1.0
0.989,1.0
0.99,1.0
0.991,1.0
0.992,1.0
0.993,1.0
0.994,1.0
0.995,1.0
0.996,1.0
0.997,1.0
0.998,1.0
0.999,1.0
1.0,1.0
